year,county,total,male,female,over18,under19,under19_male,under19_female,over18_male,over18_female
1992.0,COSTILLA,3196.0,1593.0,1603.0,2274.0,922.0,469.0,453.0,1124.0,1150.0
1992.0,CROWLEY,4140.0,2627.0,1513.0,3253.0,887.0,487.0,400.0,2140.0,1113.0
1992.0,CUSTER,2139.0,1083.0,1056.0,1560.0,579.0,323.0,256.0,760.0,800.0
1992.0,DELTA,21870.0,10831.0,11039.0,16267.0,5603.0,2923.0,2680.0,7908.0,8359.0
1992.0,DENVER,488265.0,239619.0,248646.0,374755.0,113510.0,58175.0,55335.0,181444.0,193311.0
1992.0,DOLORES,1401.0,716.0,685.0,1017.0,384.0,208.0,176.0,508.0,509.0
1992.0,DOUGLAS,75360.0,37770.0,37590.0,51067.0,24293.0,12552.0,11741.0,25218.0,25849.0
1992.0,EAGLE,24938.0,13259.0,11679.0,18393.0,6545.0,3363.0,3182.0,9896.0,8497.0
1992.0,EL PASO,422819.0,212300.0,210519.0,299788.0,123031.0,63256.0,59775.0,149044.0,150744.0
1992.0,ELBERT,10764.0,5383.0,5381.0,7324.0,3440.0,1735.0,1705.0,3648.0,3676.0
1992.0,FREMONT,33818.0,17973.0,15845.0,25931.0,7887.0,4053.0,3834.0,13920.0,12011.0
1992.0,GARFIELD,31348.0,16002.0,15346.0,22291.0,9057.0,4705.0,4352.0,11297.0,10994.0
1992.0,GILPIN,3239.0,1713.0,1526.0,2448.0,791.0,428.0,363.0,1285.0,1163.0
1992.0,GRAND,8605.0,4562.0,4043.0,6384.0,2221.0,1167.0,1054.0,3395.0,2989.0
1992.0,GUNNISON,10771.0,5741.0,5030.0,8236.0,2535.0,1287.0,1248.0,4454.0,3782.0
1992.0,HINSDALE,504.0,259.0,245.0,407.0,97.0,50.0,47.0,209.0,198.0
1992.0,HUERFANO,6182.0,3096.0,3086.0,4578.0,1604.0,835.0,769.0,2261.0,2317.0
1992.0,JACKSON,1577.0,830.0,747.0,1153.0,424.0,219.0,205.0,611.0,542.0
1992.0,JEFFERSON,463534.0,229184.0,234350.0,335707.0,127827.0,65639.0,62188.0,163545.0,172162.0
1992.0,KIOWA,1700.0,837.0,863.0,1204.0,496.0,245.0,251.0,592.0,612.0
1992.0,KIT CARSON,7234.0,3636.0,3598.0,5081.0,2153.0,1135.0,1018.0,2501.0,2580.0
1992.0,LA PLATA,34430.0,17367.0,17063.0,25141.0,9289.0,4781.0,4508.0,12586.0,12555.0
