county,school_dist,students_with_disabilities_final_grad_base,students_with_disabilities_graduates_total,students_with_disabilities_graduation_rate,students_with_disabilities_completers_total,students_with_disabilities_completion_rate,limited_english_proficient_final_grad_base,limited_english_proficient_graduates_total,limited_english_proficient_graduation_rate,limited_english_proficient_completers_total,limited_english_proficient_completion_rate,econ_disadvant_final_grad_base,econ_disadvant_graduates_total,econ_disadvant_graduation_rate,econ_disadvant_completers_total,econ_disadvant_completion_rate,migrant_final_grad_base,migrant_graduates_total,migrant_graduation_rate,migrant_completers_total,migrant_completion_rate,title_1_final_grad_base,title_1_graduates_total,title_1_graduation_rate,title_1_completers_total,title_1_completion_rate,homeless_final_grad_base,homeless_graduates_total,homeless_graduation_rate,homeless_completers_total,homeless_completion_rate,gifted_talented_final_grad_base,gifted_talented_graduates_total,gifted_talented_graduation_rate,gifted_talented_completers_total,gifted_talented_completion_rate
EL PASO,MANITOU SPRINGS 14,5.0,5.0,100.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,44.0,37.0,84.1,41.0,93.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,11.0,100.0
EL PASO,ACADEMY 20,111.0,65.0,58.6,69.0,62.2,28.0,21.0,75.0,21.0,75.0,276.0,210.0,76.1,216.0,78.3,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,100.0,11.0,6.0,54.5,6.0,54.5,294.0,287.0,97.6,290.0,98.6
EL PASO,ELLICOTT 22,4.0,1.0,25.0,1.0,25.0,1.0,1.0,100.0,1.0,100.0,37.0,30.0,81.1,31.0,83.8,1.0,1.0,100.0,1.0,100.0,24.0,23.0,95.8,23.0,95.8,2.0,1.0,50.0,1.0,50.0,1.0,1.0,100.0,1.0,100.0
EL PASO,PEYTON 23 JT,4.0,4.0,100.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,100.0,17.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,100.0
EL PASO,HANOVER 28,2.0,2.0,100.0,2.0,100.0,2.0,2.0,100.0,2.0,100.0,12.0,10.0,83.3,10.0,83.3,1.0,1.0,100.0,1.0,100.0,14.0,12.0,85.7,12.0,85.7,2.0,2.0,100.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0
EL PASO,LEWIS-PALMER 38,33.0,16.0,48.5,16.0,48.5,11.0,11.0,100.0,11.0,100.0,51.0,40.0,78.4,40.0,78.4,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.0,50.0,1.0,1.0,100.0,1.0,100.0,85.0,82.0,96.5,84.0,98.8
EL PASO,FALCON 49,78.0,50.0,64.1,50.0,64.1,23.0,18.0,78.3,18.0,78.3,258.0,213.0,82.6,213.0,82.6,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.0,50.0,7.0,6.0,85.7,6.0,85.7,86.0,83.0,96.5,83.0,96.5
EL PASO,EDISON 54 JT,2.0,2.0,100.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,75.0,6.0,75.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,60.0,3.0,60.0
EL PASO,MIAMI/YODER 60 JT,2.0,1.0,50.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,90.0,9.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FREMONT,CANON CITY RE-1,42.0,22.0,52.4,22.0,52.4,0.0,0.0,0.0,0.0,0.0,171.0,94.0,55.0,108.0,63.2,0.0,0.0,0.0,0.0,0.0,11.0,4.0,36.4,8.0,72.7,5.0,0.0,0.0,2.0,40.0,26.0,24.0,92.3,24.0,92.3
FREMONT,FREMONT RE-2,9.0,7.0,77.8,7.0,77.8,1.0,1.0,100.0,1.0,100.0,60.0,47.0,78.3,51.0,85.0,0.0,0.0,0.0,0.0,0.0,28.0,24.0,85.7,26.0,92.9,1.0,1.0,100.0,1.0,100.0,9.0,8.0,88.9,9.0,100.0
FREMONT,COTOPAXI RE-3,2.0,1.0,50.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,80.0,9.0,90.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,78.6,12.0,85.7,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,100.0
GARFIELD,ROARING FORK RE-1,34.0,27.0,79.4,28.0,82.4,69.0,40.0,58.0,40.0,58.0,101.0,73.0,72.3,73.0,72.3,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,100.0,39.0,100.0
GARFIELD,GARFIELD RE-2,21.0,16.0,76.2,16.0,76.2,44.0,28.0,63.6,32.0,72.7,149.0,90.0,60.4,111.0,74.5,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,28.6,6.0,5.0,83.3,6.0,100.0,18.0,16.0,88.9,18.0,100.0
GARFIELD,GARFIELD 16,4.0,3.0,75.0,3.0,75.0,7.0,6.0,85.7,6.0,85.7,48.0,36.0,75.0,37.0,77.1,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,1.0,1.0,100.0,1.0,100.0
GILPIN,GILPIN COUNTY RE-1,5.0,2.0,40.0,2.0,40.0,1.0,1.0,100.0,1.0,100.0,8.0,5.0,62.5,5.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,2.0,2.0,100.0,2.0,100.0
GRAND,WEST GRAND 1-JT.,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
GRAND,EAST GRAND 2,4.0,1.0,25.0,2.0,50.0,9.0,4.0,44.4,4.0,44.4,27.0,11.0,40.7,17.0,63.0,1.0,1.0,100.0,1.0,100.0,1.0,1.0,100.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,83.3,5.0,83.3
